Doc,Topic,Score,Title
Doc23,Topic5,0.538,LITTLE RED-CAP [LITTLE RED RIDING HOOD]
Doc23,Topic7,0.054,LITTLE RED-CAP [LITTLE RED RIDING HOOD]
Doc23,Topic6,0.075,LITTLE RED-CAP [LITTLE RED RIDING HOOD]
Doc23,Topic9,0.079,LITTLE RED-CAP [LITTLE RED RIDING HOOD]
Doc23,Topic8,0.065,LITTLE RED-CAP [LITTLE RED RIDING HOOD]
Doc24,Topic1,0.089,THE ROBBER BRIDEGROOM
Doc24,Topic3,0.105,THE ROBBER BRIDEGROOM
Doc24,Topic5,0.143,THE ROBBER BRIDEGROOM
Doc24,Topic4,0.384,THE ROBBER BRIDEGROOM
Doc24,Topic7,0.052,THE ROBBER BRIDEGROOM
Doc24,Topic9,0.060,THE ROBBER BRIDEGROOM
Doc24,Topic8,0.064,THE ROBBER BRIDEGROOM
Doc25,Topic10,0.062,TOM THUMB
Doc25,Topic3,0.170,TOM THUMB
Doc25,Topic2,0.054,TOM THUMB
Doc25,Topic5,0.111,TOM THUMB
Doc25,Topic4,0.085,TOM THUMB
Doc25,Topic7,0.121,TOM THUMB
Doc25,Topic6,0.300,TOM THUMB
Doc26,Topic1,0.199,RUMPELSTILTSKIN
Doc26,Topic3,0.066,RUMPELSTILTSKIN
Doc26,Topic2,0.123,RUMPELSTILTSKIN
Doc26,Topic5,0.155,RUMPELSTILTSKIN
Doc26,Topic4,0.058,RUMPELSTILTSKIN
Doc26,Topic7,0.197,RUMPELSTILTSKIN
Doc26,Topic6,0.084,RUMPELSTILTSKIN
Doc27,Topic10,0.099,CLEVER GRETEL
Doc27,Topic3,0.137,CLEVER GRETEL
Doc27,Topic5,0.072,CLEVER GRETEL
Doc27,Topic4,0.079,CLEVER GRETEL
Doc27,Topic7,0.469,CLEVER GRETEL
Doc27,Topic8,0.055,CLEVER GRETEL
Doc28,Topic10,0.229,THE OLD MAN AND HIS GRANDSON
Doc28,Topic1,0.084,THE OLD MAN AND HIS GRANDSON
Doc28,Topic2,0.072,THE OLD MAN AND HIS GRANDSON
Doc28,Topic5,0.277,THE OLD MAN AND HIS GRANDSON
Doc28,Topic7,0.084,THE OLD MAN AND HIS GRANDSON
Doc28,Topic9,0.084,THE OLD MAN AND HIS GRANDSON
Doc29,Topic10,0.070,THE LITTLE PEASANT
Doc29,Topic1,0.055,THE LITTLE PEASANT
Doc29,Topic3,0.087,THE LITTLE PEASANT
Doc29,Topic7,0.453,THE LITTLE PEASANT
Doc29,Topic6,0.056,THE LITTLE PEASANT
Doc29,Topic8,0.147,THE LITTLE PEASANT
Doc30,Topic10,0.111,FREDERICK AND CATHERINE
Doc30,Topic3,0.447,FREDERICK AND CATHERINE
Doc30,Topic4,0.103,FREDERICK AND CATHERINE
Doc30,Topic8,0.082,FREDERICK AND CATHERINE
Doc30,Topic6,0.118,FREDERICK AND CATHERINE
Doc31,Topic3,0.125,SWEETHEART ROLAND
Doc31,Topic2,0.108,SWEETHEART ROLAND
Doc31,Topic5,0.385,SWEETHEART ROLAND
Doc31,Topic6,0.053,SWEETHEART ROLAND
Doc31,Topic9,0.091,SWEETHEART ROLAND
Doc31,Topic8,0.116,SWEETHEART ROLAND
Doc32,Topic10,0.441,SNOWDROP
Doc32,Topic1,0.078,SNOWDROP
Doc32,Topic3,0.073,SNOWDROP
Doc32,Topic2,0.075,SNOWDROP
Doc32,Topic5,0.055,SNOWDROP
Doc32,Topic9,0.093,SNOWDROP
Doc32,Topic8,0.076,SNOWDROP
Doc33,Topic10,0.102,THE PINK
Doc33,Topic1,0.072,THE PINK
Doc33,Topic2,0.242,THE PINK
Doc33,Topic5,0.086,THE PINK
Doc33,Topic4,0.065,THE PINK
Doc33,Topic7,0.078,THE PINK
Doc33,Topic6,0.067,THE PINK
Doc33,Topic9,0.219,THE PINK
Doc34,Topic3,0.087,CLEVER ELSIE
Doc34,Topic5,0.131,CLEVER ELSIE
Doc34,Topic4,0.351,CLEVER ELSIE
Doc34,Topic7,0.097,CLEVER ELSIE
Doc34,Topic9,0.145,CLEVER ELSIE
Doc34,Topic8,0.073,CLEVER ELSIE
Doc35,Topic1,0.053,THE MISER IN THE BUSH
Doc35,Topic3,0.098,THE MISER IN THE BUSH
Doc35,Topic2,0.061,THE MISER IN THE BUSH
Doc35,Topic4,0.063,THE MISER IN THE BUSH
Doc35,Topic6,0.573,THE MISER IN THE BUSH
Doc35,Topic8,0.056,THE MISER IN THE BUSH
Doc36,Topic10,0.052,ASHPUTTEL
Doc36,Topic3,0.095,ASHPUTTEL
Doc36,Topic2,0.263,ASHPUTTEL
Doc36,Topic5,0.064,ASHPUTTEL
Doc36,Topic4,0.228,ASHPUTTEL
Doc36,Topic9,0.220,ASHPUTTEL
