topicId,rank,docId,filename
6,50,25,null-source
6,51,22,null-source
6,52,18,null-source
6,53,11,null-source
6,54,49,null-source
6,55,54,null-source
6,56,28,null-source
6,57,58,null-source
6,58,35,null-source
6,59,19,null-source
6,60,12,null-source
6,61,16,null-source
6,62,6,null-source
6,63,59,null-source
6,64,29,null-source
6,65,44,null-source
7,1,44,null-source
7,2,30,null-source
7,3,28,null-source
7,4,2,null-source
7,5,51,null-source
7,6,21,null-source
7,7,26,null-source
7,8,13,null-source
7,9,27,null-source
7,10,52,null-source
7,11,22,null-source
7,12,56,null-source
7,13,34,null-source
7,14,38,null-source
7,15,60,null-source
7,16,35,null-source
7,17,39,null-source
7,18,45,null-source
7,19,6,null-source
7,20,63,null-source
7,21,33,null-source
7,22,65,null-source
7,23,24,null-source
7,24,11,null-source
7,25,25,null-source
7,26,15,null-source
7,27,42,null-source
7,28,62,null-source
7,29,55,null-source
7,30,20,null-source
7,31,47,null-source
7,32,40,null-source
7,33,14,null-source
7,34,8,null-source
7,35,4,null-source
7,36,50,null-source
7,37,7,null-source
7,38,5,null-source
7,39,61,null-source
7,40,48,null-source
7,41,59,null-source
7,42,57,null-source
7,43,10,null-source
7,44,9,null-source
7,45,1,null-source
7,46,49,null-source
7,47,37,null-source
7,48,12,null-source
7,49,23,null-source
7,50,41,null-source
7,51,36,null-source
7,52,18,null-source
7,53,53,null-source
7,54,29,null-source
7,55,17,null-source
7,56,43,null-source
7,57,19,null-source
7,58,64,null-source
7,59,31,null-source
7,60,16,null-source
7,61,58,null-source
7,62,46,null-source
7,63,54,null-source
7,64,32,null-source
7,65,3,null-source
8,1,20,null-source
8,2,61,null-source
8,3,8,null-source
8,4,21,null-source
8,5,43,null-source
8,6,53,null-source
8,7,30,null-source
8,8,51,null-source
8,9,60,null-source
8,10,50,null-source
8,11,4,null-source
8,12,65,null-source
8,13,63,null-source
8,14,33,null-source
8,15,6,null-source
8,16,32,null-source
8,17,47,null-source
8,18,31,null-source
8,19,38,null-source
8,20,62,null-source
8,21,18,null-source
8,22,23,null-source
8,23,42,null-source
8,24,25,null-source
8,25,24,null-source
8,26,2,null-source
8,27,17,null-source
8,28,45,null-source
8,29,35,null-source
8,30,10,null-source
8,31,54,null-source
8,32,34,null-source
8,33,22,null-source
8,34,55,null-source
8,35,13,null-source
8,36,57,null-source
8,37,14,null-source
8,38,37,null-source
8,39,36,null-source
8,40,1,null-source
8,41,52,null-source
8,42,26,null-source
8,43,5,null-source
8,44,56,null-source
8,45,11,null-source
